Symbol	Definition	Category
>C=N[H] [Nitrogen attach]	>C=N[H] [Nitrogen attach] fragment count	Molecular Fragments
>C(=N) [2 Nitrogen attach]	>C(=N) [2 Nitrogen attach] fragment count	Molecular Fragments
>C(=N) [Nitrogen attach]	>C(=N) [Nitrogen attach] fragment count	Molecular Fragments
-CH=NH	-CH=NH fragment count	Molecular Fragments
>C=NH	>C=NH fragment count	Molecular Fragments
CH2=N	CH2=N fragment count	Molecular Fragments
-CH=N	-CH=N fragment count	Molecular Fragments
>C=N	>C=N fragment count	Molecular Fragments
-NHN=O	-NHN=O fragment count	Molecular Fragments
>NN=O	>NN=O fragment count	Molecular Fragments
-N(=O)	-N(=O) fragment count	Molecular Fragments
-N=NH	-N=NH fragment count	Molecular Fragments
-N=N-	-N=N- fragment count	Molecular Fragments
-NH2 [nitrogen attach]	-NH2 [nitrogen attach] fragment count	Molecular Fragments
-NH- [nitrogen attach]	-NH- [nitrogen attach] fragment count	Molecular Fragments
-N< [nitrogen attach]	-N< [nitrogen attach] fragment count	Molecular Fragments
-CHO [nitrogen attach]	-CHO [nitrogen attach] fragment count	Molecular Fragments
-CHO [aliphatic attach]	-CHO [aliphatic attach] fragment count	Molecular Fragments
-C(=O)- [halogen attach]	-C(=O)- [halogen attach] fragment count	Molecular Fragments
-C(=O)- [2 aromatic attach]	-C(=O)- [2 aromatic attach] fragment count	Molecular Fragments
-C(=O)- [nitrogen, aromatic attach]	-C(=O)- [nitrogen, aromatic attach] fragment count	Molecular Fragments
-C(=O)- [aromatic attach]	-C(=O)- [aromatic attach] fragment count	Molecular Fragments
-C(=O)- [2 nitrogen attach]	-C(=O)- [2 nitrogen attach] fragment count	Molecular Fragments
-C(=O)- [nitrogen, aliphatic attach]	-C(=O)- [nitrogen, aliphatic attach] fragment count	Molecular Fragments
-C(=O)- [phosphorus attach]	-C(=O)- [phosphorus attach] fragment count	Molecular Fragments
-C(=O)- [olefinic attach]	-C(=O)- [olefinic attach] fragment count	Molecular Fragments
C=O(ketone, aliphatic attach)	C=O(ketone, aliphatic attach) fragment count	Molecular Fragments
C=O(non-ketone, aliphatic attach)	C=O(non-ketone, aliphatic attach) fragment count	Molecular Fragments
-CCl3 [aliphatic attach]	-CCl3 [aliphatic attach] fragment count	Molecular Fragments
-CF3 [aliphatic attach]	-CF3 [aliphatic attach] fragment count	Molecular Fragments
-C#N [aliphatic nitrogen attach]	-C#N [aliphatic nitrogen attach] fragment count	Molecular Fragments
-C#N [aliphatic sulfur attach]	-C#N [aliphatic sulfur attach] fragment count	Molecular Fragments
-C#N [olefinic attach]	-C#N [olefinic attach] fragment count	Molecular Fragments
-C#N [aliphatic attach]	-C#N [aliphatic attach] fragment count	Molecular Fragments
P=NH	P=NH fragment count	Molecular Fragments
P=N	P=N fragment count	Molecular Fragments
P=S	P=S fragment count	Molecular Fragments
P(=O)	P(=O) fragment count	Molecular Fragments
As(=O)	As(=O) fragment count	Molecular Fragments
-SH [aliphatic attach]	-SH [aliphatic attach] fragment count	Molecular Fragments
-S- [three membered ring]	-S- [three membered ring] fragment count	Molecular Fragments
-S- [sulfur attach]	-S- [sulfur attach] fragment count	Molecular Fragments
-S- [arsenic attach]	-S- [arsenic attach] fragment count	Molecular Fragments
-S- [phosphorus attach]	-S- [phosphorus attach] fragment count	Molecular Fragments
-S- [nitrogen attach]	-S- [nitrogen attach] fragment count	Molecular Fragments
-S- [2 aromatic attach]	-S- [2 aromatic attach] fragment count	Molecular Fragments
-S- [aromatic attach]	-S- [aromatic attach] fragment count	Molecular Fragments
-OH [sulfur attach]	-OH [sulfur attach] fragment count	Molecular Fragments
-OH [oxygen attach]	-OH [oxygen attach] fragment count	Molecular Fragments
-OH [arsenic attach]	-OH [arsenic attach] fragment count	Molecular Fragments
-OH [phosphorus attach]	-OH [phosphorus attach] fragment count	Molecular Fragments
-OH [nitrogen attach]	-OH [nitrogen attach] fragment count	Molecular Fragments
-OH [aliphatic attach]	-OH [aliphatic attach] fragment count	Molecular Fragments
-O- (epoxide)	-O- (epoxide) fragment count	Molecular Fragments
-O- [2 aromatic attach]	-O- [2 aromatic attach] fragment count	Molecular Fragments
-O- [phosphorus, aromatic attach]	-O- [phosphorus, aromatic attach] fragment count	Molecular Fragments
-O- [2 phosphorus attach]	-O- [2 phosphorus attach] fragment count	Molecular Fragments
-O- [phosphorus attach]	-O- [phosphorus attach] fragment count	Molecular Fragments
-O- [arsenic attach]	-O- [arsenic attach] fragment count	Molecular Fragments
-O- [nitrogen attach]	-O- [nitrogen attach] fragment count	Molecular Fragments
-O- [sulfur attach]	-O- [sulfur attach] fragment count	Molecular Fragments
-O- [oxygen attach]	-O- [oxygen attach] fragment count	Molecular Fragments
-O- [aromatic attach]	-O- [aromatic attach] fragment count	Molecular Fragments
-CH= [aromatic attach]	-CH= [aromatic attach] fragment count	Molecular Fragments
>C= [aromatic attach]	>C= [aromatic attach] fragment count	Molecular Fragments
-C# [aromatic attach]	-C# [aromatic attach] fragment count	Molecular Fragments
-CH3 [aromatic attach]	-CH3 [aromatic attach] fragment count	Molecular Fragments
-CH2- [aromatic attach]	-CH2- [aromatic attach] fragment count	Molecular Fragments
-CH< [aromatic attach]	-CH< [aromatic attach] fragment count	Molecular Fragments
>C< [aromatic attach]	>C< [aromatic attach] fragment count	Molecular Fragments
-CH3 [aliphatic attach]	-CH3 [aliphatic attach] fragment count	Molecular Fragments
-CH2- [aliphatic attach]	-CH2- [aliphatic attach] fragment count	Molecular Fragments
-CH< [aliphatic attach]	-CH< [aliphatic attach] fragment count	Molecular Fragments
>C< [aliphatic attach]	>C< [aliphatic attach] fragment count	Molecular Fragments
=C=	=C= fragment count	Molecular Fragments
=CH2 [aliphatic attach]	=CH2 [aliphatic attach] fragment count	Molecular Fragments
=CH [aliphatic attach]	=CH [aliphatic attach] fragment count	Molecular Fragments
=C [aliphatic attach]	=C [aliphatic attach] fragment count	Molecular Fragments
#CH [aliphatic attach]	#CH [aliphatic attach] fragment count	Molecular Fragments
#C [aliphatic attach]	#C [aliphatic attach] fragment count	Molecular Fragments
-NH2 [aromatic attach]	-NH2 [aromatic attach] fragment count	Molecular Fragments
-NH- [aromatic attach]	-NH- [aromatic attach] fragment count	Molecular Fragments
-N< [aromatic attach]	-N< [aromatic attach] fragment count	Molecular Fragments
-NH2 [aliphatic attach]	-NH2 [aliphatic attach] fragment count	Molecular Fragments
-NH- [aliphatic attach]	-NH- [aliphatic attach] fragment count	Molecular Fragments
-N< [aliphatic attach]	-N< [aliphatic attach] fragment count	Molecular Fragments
Fused aromatic carbon	Fused aromatic carbon fragment count	Molecular Fragments
Fused aromatic nitrogen	Fused aromatic nitrogen fragment count	Molecular Fragments
ACH	ACH fragment count	Molecular Fragments
ANH	ANH fragment count	Molecular Fragments
AC	AC fragment count	Molecular Fragments
AN	AN fragment count	Molecular Fragments
AN+	AN+ fragment count	Molecular Fragments
AO	AO fragment count	Molecular Fragments
AS	AS fragment count	Molecular Fragments
=O [other]	=O [other] fragment count	Molecular Fragments
=S [other]	=S [other] fragment count	Molecular Fragments
-[O-]	-[O-] fragment count	Molecular Fragments
-O- [aliphatic attach]	-O- [aliphatic attach] fragment count	Molecular Fragments
-S- [aliphatic attach]	-S- [aliphatic attach] fragment count	Molecular Fragments
-F [aromatic attach]	-F [aromatic attach] fragment count	Molecular Fragments
-Br [aromatic attach]	-Br [aromatic attach] fragment count	Molecular Fragments
-Cl [aromatic attach]	-Cl [aromatic attach] fragment count	Molecular Fragments
-I [aromatic attach]	-I [aromatic attach] fragment count	Molecular Fragments
-Br [olefinic attach]	-Br [olefinic attach] fragment count	Molecular Fragments
-Cl [olefinic attach]	-Cl [olefinic attach] fragment count	Molecular Fragments
-F [olefinic attach]	-F [olefinic attach] fragment count	Molecular Fragments
-I [olefinic attach]	-I [olefinic attach] fragment count	Molecular Fragments
Halogen [Nitrogen attach]	Halogen [Nitrogen attach] fragment count	Molecular Fragments
-Br [aliphatic attach]	-Br [aliphatic attach] fragment count	Molecular Fragments
-Cl [aliphatic attach]	-Cl [aliphatic attach] fragment count	Molecular Fragments
-F [aliphatic attach]	-F [aliphatic attach] fragment count	Molecular Fragments
-I [aliphatic attach]	-I [aliphatic attach] fragment count	Molecular Fragments
H [phosphorus attach]	H [phosphorus attach] fragment count	Molecular Fragments
H [nitrogen attach]	H [nitrogen attach] fragment count	Molecular Fragments
H [silicon attach]	H [silicon attach] fragment count	Molecular Fragments
H [carbon attach]	H [carbon attach] fragment count	Molecular Fragments
H [other]	H [other] fragment count	Molecular Fragments
-Hg	-Hg fragment count	Molecular Fragments
-Hg-	-Hg- fragment count	Molecular Fragments
-Hg+	-Hg+ fragment count	Molecular Fragments
Hg	Hg fragment count	Molecular Fragments
Pb	Pb fragment count	Molecular Fragments
B	B fragment count	Molecular Fragments
P [+3 valence, all single bonds]	P [+3 valence, all single bonds] fragment count	Molecular Fragments
P [+3 valence, all single bonds]	P [+3 valence, all single bonds] fragment count	Molecular Fragments
P [+3 valence, all single bonds]	P [+3 valence, all single bonds] fragment count	Molecular Fragments
P [+5 valence, one double bond]	P [+5 valence, one double bond] fragment count	Molecular Fragments
P [+5 valence, two double bonds]	P [+5 valence, two double bonds] fragment count	Molecular Fragments
P [+5 valence, all single bonds]	P [+5 valence, all single bonds] fragment count	Molecular Fragments
P	P fragment count	Molecular Fragments
As [+3 valence, one double bond]	As [+3 valence, one double bond] fragment count	Molecular Fragments
As [+3 valence, all single bonds]	As [+3 valence, all single bonds] fragment count	Molecular Fragments
As [+5 valence, one double bond]	As [+5 valence, one double bond] fragment count	Molecular Fragments
As [+5 valence, two double bonds]	As [+5 valence, two double bonds] fragment count	Molecular Fragments
As [+5 valence, all single bonds]	As [+5 valence, all single bonds] fragment count	Molecular Fragments
As	As fragment count	Molecular Fragments
numHBa	Number of hydrogen bond acceptors	2-D Molecular Properties
numHBd	Number of hydrogen bond donors	2-D Molecular Properties
numwHBd	Number of weak hydrogen bond donors (i.e. �CHX, where X = Cl, F)	2-D Molecular Properties
SHHBa	Sum of E-State indices for hydrogen bond acceptors	2-D Molecular Properties
SHHBd	Sum of E-State indices for hydrogen bond donors	2-D Molecular Properties
SHwHBd	Sum of E-State indices for weak hydrogen bond donors	2-D Molecular Properties
Qs	Molecular and group polarity index	2-D Molecular Properties
Qv	Molecular and group polarity index	2-D Molecular Properties
Qsv	Average of Qs and Qv	2-D Molecular Properties
ib	Information bond index	Information Indices
eim	Mean information content on the edge magnitude	Information Indices
ic	Information content	Information Indices
si	Mean information content or Shannon�s entropy	Information Indices
I	Total information content	Information Indices
maxic	Maximum information content	Information Indices
ssi	Standardized Shannon Information  or standardized information content	Information Indices
R	Brillouin redundancy index	Information Indices
iadje	Total information content on the adjacency equality 	Information Indices
iadjem	Mean information content on the adjacency equality 	Information Indices
iadjm	Total information content on the adjacency magnitude 	Information Indices
iadjmm	Mean information content on the adjacency magnitude 	Information Indices
ivdem	Mean information content of the vertex degree equality 	Information Indices
ivdmm	Mean information content of the vertex degree magnitude 	Information Indices
ieadje	Total information content on the edge adjacency equality 	Information Indices
ieadjem	Mean information content on the edge adjacency equality 	Information Indices
ieadjm	Total information content on the edge adjacency magnitude 	Information Indices
ieadjmm	Mean information content on the edge adjacency magnitude 	Information Indices
ide	Total information content on the distance equality 	Information Indices
idem	Mean information content on the distance equality 	Information Indices
idm	Total information content on the distance magnitude 	Information Indices
idmm	Mean information content on the distance magnitude 	Information Indices
iddem	Mean information content on the distance degree equality 	Information Indices
iddmm	Mean information content on the distance degree magnitude 	Information Indices
iede	Total information content on the edge distance equality 	Information Indices
iedem	Mean information content on the edge distance equality 	Information Indices
We	Edge wiener index 	Information Indices
iedm	Total information content on the edge distance magnitude 	Information Indices
iedmm	Mean information content on the edge distance magnitude 	Information Indices
tvc	Total vertex cyclicity 	Information Indices
icyce	Total information on the vertex cycle matrix equality 	Information Indices
icycem	Mean information on the vertex cycle matrix equality 	Information Indices
icycm	Total information on the vertex cycle matrix magnitude 	Information Indices
icycmm	Mean information on the vertex cycle matrix magnitude 	Information Indices
tti	Total topological index 	Information Indices
ttvi	Total topological valence index 	Information Indices
MDEC11	Molecular distance edge between all primary carbons	Molecular Distance-Edge Vector
MDEC12	Molecular distance edge between all primary and secondary carbons	Molecular Distance-Edge Vector
MDEC13	Molecular distance edge between all primary and tertiary carbons	Molecular Distance-Edge Vector
MDEC14	Molecular distance edge between all primary and quaternary carbons	Molecular Distance-Edge Vector
MDEC22	Molecular distance edge between all secondary carbons	Molecular Distance-Edge Vector
MDEC23	Molecular distance edge between all secondary and tertiary carbons	Molecular Distance-Edge Vector
MDEC24	Molecular distance edge between all secondary and quaternary carbons	Molecular Distance-Edge Vector
MDEC33	Molecular distance edge between all tertiary carbons	Molecular Distance-Edge Vector
MDEC34	Molecular distance edge between all tertiary and quaternary carbons	Molecular Distance-Edge Vector
MDEC44	Molecular distance edge between all quaternary carbons	Molecular Distance-Edge Vector
MDEO11	Molecular distance edge between all primary oxygens	Molecular Distance-Edge Vector
MDEO12	Molecular distance edge between all primary and secondary oxygens	Molecular Distance-Edge Vector
MDEO22	Molecular distance edge between all secondary oxygens	Molecular Distance-Edge Vector
MDEN11	Molecular distance edge between all primary nitrogens	Molecular Distance-Edge Vector
MDEN12	Molecular distance edge between all primary and secondary nitrogens	Molecular Distance-Edge Vector
MDEN13	Molecular distance edge between all primary and tertiary nitrogens	Molecular Distance-Edge Vector
MDEN22	Molecular distance edge between all secondary nitrogens	Molecular Distance-Edge Vector
MDEN23	Molecular distance edge between all secondary and tertiary nitrogens	Molecular Distance-Edge Vector
MDEN33	Molecular distance edge between all tertiary nitrogens	Molecular Distance-Edge Vector
BEHm1	Highest eigenvalue n. 1 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BEHm2	Highest eigenvalue n. 2 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BEHm3	Highest eigenvalue n. 3 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BEHm4	Highest eigenvalue n. 4 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BEHm5	Highest eigenvalue n. 5 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BEHm6	Highest eigenvalue n. 6 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BEHm7	Highest eigenvalue n. 7 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BEHm8	Highest eigenvalue n. 8 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BELm1	Lowest eigenvalue n. 1 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BELm2	Lowest eigenvalue n. 2 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BELm3	Lowest eigenvalue n. 3 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BELm4	Lowest eigenvalue n. 4 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BELm5	Lowest eigenvalue n. 5 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BELm6	Lowest eigenvalue n. 6 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BELm7	Lowest eigenvalue n. 7 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BELm8	Lowest eigenvalue n. 8 of Burden matrix / weighted by atomic masses 	Burden Eigenvalue Descriptors
BEHv1	Highest eigenvalue n. 1 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BEHv2	Highest eigenvalue n. 2 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BEHv3	Highest eigenvalue n. 3 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BEHv4	Highest eigenvalue n. 4 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BEHv5	Highest eigenvalue n. 5 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BEHv6	Highest eigenvalue n. 6 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BEHv7	Highest eigenvalue n. 7 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BEHv8	Highest eigenvalue n. 8 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BELv1	Lowest eigenvalue n. 1 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BELv2	Lowest eigenvalue n. 2 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BELv3	Lowest eigenvalue n. 3 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BELv4	Lowest eigenvalue n. 4 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BELv5	Lowest eigenvalue n. 5 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BELv6	Lowest eigenvalue n. 6 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BELv7	Lowest eigenvalue n. 7 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BELv8	Lowest eigenvalue n. 8 of Burden matrix / weighted by atomic van der Waals volumes 	Burden Eigenvalue Descriptors
BEHe1	Highest eigenvalue n. 1 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BEHe2	Highest eigenvalue n. 2 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BEHe3	Highest eigenvalue n. 3 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BEHe4	Highest eigenvalue n. 4 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BEHe5	Highest eigenvalue n. 5 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BEHe6	Highest eigenvalue n. 6 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BEHe7	Highest eigenvalue n. 7 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BEHe8	Highest eigenvalue n. 8 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BELe1	Lowest eigenvalue n. 1 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BELe2	Lowest eigenvalue n. 2 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BELe3	Lowest eigenvalue n. 3 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BELe4	Lowest eigenvalue n. 4 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BELe5	Lowest eigenvalue n. 5 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BELe6	Lowest eigenvalue n. 6 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BELe7	Lowest eigenvalue n. 7 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BELe8	Lowest eigenvalue n. 8 of Burden matrix / weighted by atomic Sanderson electronegativities 	Burden Eigenvalue Descriptors
BEHp1	Highest eigenvalue n. 1 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BEHp2	Highest eigenvalue n. 2 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BEHp3	Highest eigenvalue n. 3 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BEHp4	Highest eigenvalue n. 4 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BEHp5	Highest eigenvalue n. 5 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BEHp6	Highest eigenvalue n. 6 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BEHp7	Highest eigenvalue n. 7 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BEHp8	Highest eigenvalue n. 8 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BELp1	Lowest eigenvalue n. 1 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BELp2	Lowest eigenvalue n. 2 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BELp3	Lowest eigenvalue n. 3 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BELp4	Lowest eigenvalue n. 4 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BELp5	Lowest eigenvalue n. 5 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BELp6	Lowest eigenvalue n. 6 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BELp7	Lowest eigenvalue n. 7 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
BELp8	Lowest eigenvalue n. 8 of Burden matrix / weighted by atomic polarizabilities 	Burden Eigenvalue Descriptors
MWC01	Molecular walk count of order 1	Walk and Path Counts
MWC02	Molecular walk count of order 2	Walk and Path Counts
MWC03	Molecular walk count of order 3	Walk and Path Counts
MWC04	Molecular walk count of order 4	Walk and Path Counts
MWC05	Molecular walk count of order 5	Walk and Path Counts
MWC06	Molecular walk count of order 6	Walk and Path Counts
MWC07	Molecular walk count of order 7	Walk and Path Counts
MWC08	Molecular walk count of order 8	Walk and Path Counts
MWC09	Molecular walk count of order 9	Walk and Path Counts
MWC10	Molecular walk count of order 10	Walk and Path Counts
SRW01	Self-returning walk count of order 1	Walk and Path Counts
SRW02	Self-returning walk count of order 2	Walk and Path Counts
SRW03	Self-returning walk count of order 3	Walk and Path Counts
SRW04	Self-returning walk count of order 4	Walk and Path Counts
SRW05	Self-returning walk count of order 5	Walk and Path Counts
SRW06	Self-returning walk count of order 6	Walk and Path Counts
SRW07	Self-returning walk count of order 7	Walk and Path Counts
SRW08	Self-returning walk count of order 8	Walk and Path Counts
SRW09	Self-returning walk count of order 9	Walk and Path Counts
SRW10	Self-returning walk count of order 10	Walk and Path Counts
MPC01	Molecular path count of order 1	Walk and Path Counts
MPC02	Molecular path count of order 2	Walk and Path Counts
MPC03	Molecular path count of order 3	Walk and Path Counts
MPC04	Molecular path count of order 4	Walk and Path Counts
MPC05	Molecular path count of order 5	Walk and Path Counts
MPC06	Molecular path count of order 6	Walk and Path Counts
MPC07	Molecular path count of order 7	Walk and Path Counts
MPC08	Molecular path count of order 8	Walk and Path Counts
MPC09	Molecular path count of order 9	Walk and Path Counts
MPC10	Molecular path count of order 10	Walk and Path Counts
piPC01	Molecular multiple path count of order 01 (sum of conventional bond orders, SCBO)	Walk and Path Counts
piPC02	Molecular multiple path count of order 02	Walk and Path Counts
piPC03	Molecular multiple path count of order 03	Walk and Path Counts
piPC04	Molecular multiple path count of order 04	Walk and Path Counts
piPC05	Molecular multiple path count of order 05	Walk and Path Counts
piPC06	Molecular multiple path count of order 06	Walk and Path Counts
piPC07	Molecular multiple path count of order 07	Walk and Path Counts
piPC08	Molecular multiple path count of order 08	Walk and Path Counts
piPC09	Molecular multiple path count of order 09	Walk and Path Counts
piPC10	Molecular multiple path count of order 10	Walk and Path Counts
piID	Conventional bond order id number	Walk and Path Counts
TWC	Total walk count	Walk and Path Counts
TPC	Total path count	Walk and Path Counts
CID	Randic Connectivity ID number	Walk and Path Counts
CID2	Average Randic Connectivity ID number	Walk and Path Counts
BID	Balaban ID number	Walk and Path Counts
ATS1m	Broto-Moreau autocorrelation of a topological structure - lag 1 / weighted by atomic masses	2D Autocorrelation Descriptors
ATS2m	Broto-Moreau autocorrelation of a topological structure - lag 2 / weighted by atomic masses	2D Autocorrelation Descriptors
ATS3m	Broto-Moreau autocorrelation of a topological structure - lag 3 / weighted by atomic masses	2D Autocorrelation Descriptors
ATS4m	Broto-Moreau autocorrelation of a topological structure - lag 4 / weighted by atomic masses	2D Autocorrelation Descriptors
ATS5m	Broto-Moreau autocorrelation of a topological structure - lag 5 / weighted by atomic masses	2D Autocorrelation Descriptors
ATS6m	Broto-Moreau autocorrelation of a topological structure - lag 6 / weighted by atomic masses	2D Autocorrelation Descriptors
ATS7m	Broto-Moreau autocorrelation of a topological structure - lag 7 / weighted by atomic masses	2D Autocorrelation Descriptors
ATS8m	Broto-Moreau autocorrelation of a topological structure - lag 8 / weighted by atomic masses	2D Autocorrelation Descriptors
ATS1v	Broto-Moreau autocorrelation of a topological structure - lag 1 / weighted by atomic van der Waals volumes	2D Autocorrelation Descriptors
ATS2v	Broto-Moreau autocorrelation of a topological structure - lag 2 / weighted by atomic van der Waals volumes	2D Autocorrelation Descriptors
ATS3v	Broto-Moreau autocorrelation of a topological structure - lag 3 / weighted by atomic van der Waals volumes	2D Autocorrelation Descriptors
ATS4v	Broto-Moreau autocorrelation of a topological structure - lag 4 / weighted by atomic van der Waals volumes	2D Autocorrelation Descriptors
ATS5v	Broto-Moreau autocorrelation of a topological structure - lag 5 / weighted by atomic van der Waals volumes	2D Autocorrelation Descriptors
ATS6v	Broto-Moreau autocorrelation of a topological structure - lag 6 / weighted by atomic van der Waals volumes	2D Autocorrelation Descriptors
ATS7v	Broto-Moreau autocorrelation of a topological structure - lag 7 / weighted by atomic van der Waals volumes	2D Autocorrelation Descriptors
ATS8v	Broto-Moreau autocorrelation of a topological structure - lag 8 / weighted by atomic van der Waals volumes	2D Autocorrelation Descriptors
ATS1e	Broto-Moreau autocorrelation of a topological structure - lag 1 / weighted by atomic Sanderson electronegativities	2D Autocorrelation Descriptors
ATS2e	Broto-Moreau autocorrelation of a topological structure - lag 2 / weighted by atomic Sanderson electronegativities	2D Autocorrelation Descriptors
ATS3e	Broto-Moreau autocorrelation of a topological structure - lag 3 / weighted by atomic Sanderson electronegativities	2D Autocorrelation Descriptors
ATS4e	Broto-Moreau autocorrelation of a topological structure - lag 4 / weighted by atomic Sanderson electronegativities	2D Autocorrelation Descriptors
ATS5e	Broto-Moreau autocorrelation of a topological structure - lag 5 / weighted by atomic Sanderson electronegativities	2D Autocorrelation Descriptors
ATS6e	Broto-Moreau autocorrelation of a topological structure - lag 6 / weighted by atomic Sanderson electronegativities	2D Autocorrelation Descriptors
ATS7e	Broto-Moreau autocorrelation of a topological structure - lag 7 / weighted by atomic Sanderson electronegativities	2D Autocorrelation Descriptors
ATS8e	Broto-Moreau autocorrelation of a topological structure - lag 8 / weighted by atomic Sanderson electronegativities	2D Autocorrelation Descriptors
ATS1p	Broto-Moreau autocorrelation of a topological structure - lag 1 / weighted by atomic polarizabilities	2D Autocorrelation Descriptors
ATS2p	Broto-Moreau autocorrelation of a topological structure - lag 2 / weighted by atomic polarizabilities	2D Autocorrelation Descriptors
ATS3p	Broto-Moreau autocorrelation of a topological structure - lag 3 / weighted by atomic polarizabilities	2D Autocorrelation Descriptors
ATS4p	Broto-Moreau autocorrelation of a topological structure - lag 4 / weighted by atomic polarizabilities	2D Autocorrelation Descriptors
ATS5p	Broto-Moreau autocorrelation of a topological structure - lag 5 / weighted by atomic polarizabilities	2D Autocorrelation Descriptors
ATS6p	Broto-Moreau autocorrelation of a topological structure - lag 6 / weighted by atomic polarizabilities	2D Autocorrelation Descriptors
ATS7p	Broto-Moreau autocorrelation of a topological structure - lag 7 / weighted by atomic polarizabilities	2D Autocorrelation Descriptors
ATS8p	Broto-Moreau autocorrelation of a topological structure - lag 8 / weighted by atomic polarizabilities	2D Autocorrelation Descriptors
